Country,latitude,longitude
Guinea-Bissau ," 11° 46 20.45"" "," -15° 10 10.63"" W"
Guyana ," 4° 51 20.43"" "," -58° 57 10.84"" W"
Haiti ," 19° 03 21.05"" "," -73° 03 4.80"" W"
Heard Island and McDonald Islands ," -53° 04 35.69"" "," 73° 30 49.18"" E"
Holy See ," 41° 54 13.97"" "," 12° 27 7.50"" E"
Honduras ," 14° 45 1.38"" "," -86° 14 28.83"" W"
Hong Kong ," 22° 22 12.20"" "," 114° 09 12.94"" E"
Hungary ," 47° 09 40.18"" "," 19° 30 20.71"" E"
Iceland ," 64° 55 52.59"" "," -19° 01 16.21"" W"
India ," 21° 07 44.38"" "," 82° 46 45.19"" E"
Indonesia ," -2° 32 56.13"" "," 118° 00 53.51"" E"
"Iran, Islamic Republic of "," 32° 25 14.67"" "," 53° 40 58.86"" E"
Iraq ," 33° 13 15.34"" "," 43° 41 5.13"" E"
Ireland ," 53° 25 43.19"" "," -8° 19 55.49"" W"
Isle of Man ," 54° 13 52.58"" "," -4° 34 10.21"" W"
Israel ," 31° 24 42.21"" "," 35° 04 54.54"" E"
Italy ," 41° 17 32.86"" "," 12° 34 25.00"" E"
Ivory Coast ," 7° 32 43.84"" "," -5° 32 51.16"" W"
Jamaica ," 18° 06 55.86"" "," -77° 16 33.61"" W"
Japan ," 37° 29 24.11"" "," 136° 27 59.04"" E"
Jersey ," 49° 12 40.06"" "," -2° 07 57.48"" W"
Jordan ," 31° 16 47.50"" "," 37° 07 47.08"" E"
Kazakhstan ," 48° 00 19.02"" "," 66° 54 16.36"" E"
Kenya ," 0° 10 36.73"" "," 37° 54 29.98"" E"
Kiribati ," 1° 52 15.31"" "," -157° 21 45.36"" W"
Kosovo ," 42° 34 59.88"" "," 21° 00 0.36"" E"
Kuwait ," 29° 18 50.67"" "," 47° 29 30.30"" E"
Kyrgyzstan ," 41° 13 22.10"" "," 74° 44 19.60"" E"
Lao People's Democratic Republic ," 18° 12 22.67"" "," 103° 53 20.48"" E"
Latvia ," 56° 52 48.62"" "," 24° 36 20.69"" E"
Lebanon ," 33° 52 24.81"" "," 35° 51 49.50"" E"
Lesotho ," -29° 37 23.48"" "," 28° 14 0.49"" E"
Liberia ," 6° 26 1.32"" "," -9° 25 18.31"" W"
Libya ," 26° 20 4.96"" "," 17° 16 9.16"" E"
Liechtenstein ," 47° 09 33.91"" "," 9° 33 13.09"" E"
Lithuania ," 55° 10 24.96"" "," 23° 53 41.29"" E"
Luxembourg ," 49° 48 55.08"" "," 6° 07 59.95"" E"
Macau ," 22° 09 48.30"" "," 113° 33 46.59"" E"
"Macedonia, the former Yugoslav Republic of "," 41° 36 49.37"" "," 21° 44 35.73"" E"
Madagascar ," -18° 46 45.36"" "," 46° 50 4.05"" E"
Malawi ," -13° 15 4.38"" "," 34° 18 5.50"" E"
Malaysia ," 4° 08 26.28"" "," 109° 37 5.33"" E"
Maldives ," 1° 58 38.09"" "," 73° 32 9.97"" E"
Mali ," 17° 34 26.16"" "," -3° 59 9.99"" W"
Malta ," 35° 56 38.46"" "," 14° 22 46.29"" E"
Marshall Islands ," 11° 36 14.48"" "," 165° 18 47.92"" E"
Martinique ," 14° 38 1.25"" "," -61° 01 11.32"" W"
Mauritania ," 21° 00 28.29"" "," -10° 57 6.24"" W"
Mauritius ," -20° 12 23.94"" "," 57° 40 31.80"" E"
Mayotte ," -12° 49 15.72"" "," 45° 09 32.76"" E"
Mexico ," 23° 37 33.72"" "," -102° 32 15.00"" W"
"Micronesia, Federated States of "," 6° 53 14.93"" "," 158° 12 54.26"" E"
"Moldova, Republic of "," 46° 58 49.39"" "," 28° 23 22.91"" E"
Monaco ," 43° 44 17.96"" "," 7° 25 28.05"" E"
Mongolia ," 46° 51 54.39"" "," 103° 50 5.22"" E"
Montenegro ," 42° 42 15.92"" "," 19° 23 44.80"" E"
Montserrat ," 16° 44 57.97"" "," -62° 11 33.90"" W"
Morocco ," 31° 47 40.29"" "," -7° 05 5.76"" W"
Mozambique ," -18° 40 10.76"" "," 35° 31 38.41"" E"
Myanmar ," 19° 04 24.47"" "," 96° 40 15.74"" E"
Namibia ," -22° 58 1.42"" "," 18° 29 34.80"" E"
Nauru ," 0° 31 42.29"" "," 166° 56 3.26"" E"
Nepal ," 28° 23 50.50"" "," 84° 07 32.74"" E"
Netherlands ," 52° 12 46.77"" "," 5° 16 45.73"" E"
New Caledonia ," -21° 12 38.62"" "," 165° 51 6.13"" E"
New Zealand ," -43° 22 28.16"" "," 172° 27 58.57"" E"
Nicaragua ," 12° 52 9.00"" "," -85° 08 28.28"" W"
Niger ," 17° 35 48.77"" "," 8° 04 58.26"" E"
Nigeria ," 9° 04 39.90"" "," 8° 40 38.84"" E"
Niue ," -19° 03 15.37"" "," -169° 51 43.51"" W"
Norfolk Island ," -29° 01 58.18"" "," 167° 57 15.81"" E"
"Korea, Democratic People's Republic of "," 40° 20 32.86"" "," 127° 25 51.62"" E"
Northern Mariana Islands ," 15° 06 23.00"" "," 145° 42 23.49"" E"
Norway ," 64° 34 41.91"" "," 17° 53 17.65"" E"
Oman ," 21° 31 40.32"" "," 55° 55 10.92"" E"
Pakistan ," 30° 23 21.84"" "," 69° 21 11.59"" E"
Palau ," 7° 21 58.79"" "," 134° 26 2.74"" E"
"Palestine, State of "," 31° 56 50.46"" "," 35° 13 37.79"" E"
Panama ," 8° 25 31.87"" "," -80° 06 19.31"" W"
Papua New Guinea ," -6° 15 52.52"" "," 148° 57 49.85"" E"
Paraguay ," -23° 26 16.87"" "," -58° 26 53.90"" W"
Peru ," -9° 11 42.64"" "," -74° 59 25.50"" W"
Philippines ," 11° 41 52.21"" "," 122° 37 18.32"" E"
Pitcairn Islands ," -24° 22 36.28"" "," -128° 19 27.25"" W"
Poland ," 51° 55 8.06"" "," 19° 08 3.76"" E"
Portugal ," 39° 33 25.89"" "," -7° 51 13.18"" W"
Puerto Rico ," 18° 11 55.39"" "," -66° 21 9.63"" W"
Qatar ," 25° 19 37.58"" "," 51° 11 47.97"" E"
Reunion ," -21° 07 50.48"" "," 55° 31 35.33"" E"
Romania ," 45° 56 39.43"" "," 25° 00 33.95"" E"
Russian Federation ," 55° 00 0.00"" "," 103° 00 0.00"" E"
Rwanda ," -1° 56 37.34"" "," 29° 52 50.08"" E"
Saint Barthelemy ," 17° 54 50.12"" "," -62° 50 1.87"" W"
"Saint Helena, Ascension and Tristan da Cunha "," -15° 57 55.90"" "," -5° 42 41.34"" W"
