Country,latitude,longitude
Heard Island and McDonald Islands ," -53° 04 35.69"" S"," 73° 30 49.18"" E"
Holy See ," 41° 54 13.97"" N"," 12° 27 7.50"" E"
Honduras ," 14° 45 1.38"" N"," -86° 14 28.83"" W"
Hong Kong ," 22° 22 12.20"" N"," 114° 09 12.94"" E"
Hungary ," 47° 09 40.18"" N"," 19° 30 20.71"" E"
Iceland ," 64° 55 52.59"" N"," -19° 01 16.21"" W"
India ," 21° 07 44.38"" N"," 82° 46 45.19"" E"
Indonesia ," -2° 32 56.13"" S"," 118° 00 53.51"" E"
"Iran, Islamic Republic of "," 32° 25 14.67"" N"," 53° 40 58.86"" E"
Iraq ," 33° 13 15.34"" N"," 43° 41 5.13"" E"
Ireland ," 53° 25 43.19"" N"," -8° 19 55.49"" W"
Isle of Man ," 54° 13 52.58"" N"," -4° 34 10.21"" W"
Israel ," 31° 24 42.21"" N"," 35° 04 54.54"" E"
Italy ," 41° 17 32.86"" N"," 12° 34 25.00"" E"
Ivory Coast ," 7° 32 43.84"" N"," -5° 32 51.16"" W"
Jamaica ," 18° 06 55.86"" N"," -77° 16 33.61"" W"
Japan ," 37° 29 24.11"" N"," 136° 27 59.04"" E"
Jersey ," 49° 12 40.06"" N"," -2° 07 57.48"" W"
Jordan ," 31° 16 47.50"" N"," 37° 07 47.08"" E"
Kazakhstan ," 48° 00 19.02"" N"," 66° 54 16.36"" E"
Kenya ," 0° 10 36.73"" N"," 37° 54 29.98"" E"
Kiribati ," 1° 52 15.31"" N"," -157° 21 45.36"" W"
Kosovo ," 42° 34 59.88"" N"," 21° 00 0.36"" E"
Kuwait ," 29° 18 50.67"" N"," 47° 29 30.30"" E"
Kyrgyzstan ," 41° 13 22.10"" N"," 74° 44 19.60"" E"
Lao People's Democratic Republic ," 18° 12 22.67"" N"," 103° 53 20.48"" E"
Latvia ," 56° 52 48.62"" N"," 24° 36 20.69"" E"
Lebanon ," 33° 52 24.81"" N"," 35° 51 49.50"" E"
Lesotho ," -29° 37 23.48"" S"," 28° 14 0.49"" E"
Liberia ," 6° 26 1.32"" N"," -9° 25 18.31"" W"
Libya ," 26° 20 4.96"" N"," 17° 16 9.16"" E"
Liechtenstein ," 47° 09 33.91"" N"," 9° 33 13.09"" E"
Lithuania ," 55° 10 24.96"" N"," 23° 53 41.29"" E"
Luxembourg ," 49° 48 55.08"" N"," 6° 07 59.95"" E"
Macau ," 22° 09 48.30"" N"," 113° 33 46.59"" E"
"Macedonia, the former Yugoslav Republic of "," 41° 36 49.37"" N"," 21° 44 35.73"" E"
Madagascar ," -18° 46 45.36"" S"," 46° 50 4.05"" E"
Malawi ," -13° 15 4.38"" S"," 34° 18 5.50"" E"
Malaysia ," 4° 08 26.28"" N"," 109° 37 5.33"" E"
Maldives ," 1° 58 38.09"" N"," 73° 32 9.97"" E"
Mali ," 17° 34 26.16"" N"," -3° 59 9.99"" W"
Malta ," 35° 56 38.46"" N"," 14° 22 46.29"" E"
Marshall Islands ," 11° 36 14.48"" N"," 165° 18 47.92"" E"
Martinique ," 14° 38 1.25"" N"," -61° 01 11.32"" W"
Mauritania ," 21° 00 28.29"" N"," -10° 57 6.24"" W"
Mauritius ," -20° 12 23.94"" S"," 57° 40 31.80"" E"
Mayotte ," -12° 49 15.72"" S"," 45° 09 32.76"" E"
Mexico ," 23° 37 33.72"" N"," -102° 32 15.00"" W"
"Micronesia, Federated States of "," 6° 53 14.93"" N"," 158° 12 54.26"" E"
"Moldova, Republic of "," 46° 58 49.39"" N"," 28° 23 22.91"" E"
Monaco ," 43° 44 17.96"" N"," 7° 25 28.05"" E"
Mongolia ," 46° 51 54.39"" N"," 103° 50 5.22"" E"
Montenegro ," 42° 42 15.92"" N"," 19° 23 44.80"" E"
Montserrat ," 16° 44 57.97"" N"," -62° 11 33.90"" W"
Morocco ," 31° 47 40.29"" N"," -7° 05 5.76"" W"
Mozambique ," -18° 40 10.76"" S"," 35° 31 38.41"" E"
Myanmar ," 19° 04 24.47"" N"," 96° 40 15.74"" E"
Namibia ," -22° 58 1.42"" S"," 18° 29 34.80"" E"
Nauru ," 0° 31 42.29"" N"," 166° 56 3.26"" E"
Nepal ," 28° 23 50.50"" N"," 84° 07 32.74"" E"
Netherlands ," 52° 12 46.77"" N"," 5° 16 45.73"" E"
New Caledonia ," -21° 12 38.62"" S"," 165° 51 6.13"" E"
New Zealand ," -43° 22 28.16"" S"," 172° 27 58.57"" E"
Nicaragua ," 12° 52 9.00"" N"," -85° 08 28.28"" W"
Niger ," 17° 35 48.77"" N"," 8° 04 58.26"" E"
Nigeria ," 9° 04 39.90"" N"," 8° 40 38.84"" E"
Niue ," -19° 03 15.37"" S"," -169° 51 43.51"" W"
Norfolk Island ," -29° 01 58.18"" S"," 167° 57 15.81"" E"
"Korea, Democratic People's Republic of "," 40° 20 32.86"" N"," 127° 25 51.62"" E"
Northern Mariana Islands ," 15° 06 23.00"" N"," 145° 42 23.49"" E"
Norway ," 64° 34 41.91"" N"," 17° 53 17.65"" E"
Oman ," 21° 31 40.32"" N"," 55° 55 10.92"" E"
Pakistan ," 30° 23 21.84"" N"," 69° 21 11.59"" E"
Palau ," 7° 21 58.79"" N"," 134° 26 2.74"" E"
"Palestine, State of "," 31° 56 50.46"" N"," 35° 13 37.79"" E"
Panama ," 8° 25 31.87"" N"," -80° 06 19.31"" W"
Papua New Guinea ," -6° 15 52.52"" S"," 148° 57 49.85"" E"
Paraguay ," -23° 26 16.87"" S"," -58° 26 53.90"" W"
Peru ," -9° 11 42.64"" S"," -74° 59 25.50"" W"
Philippines ," 11° 41 52.21"" N"," 122° 37 18.32"" E"
Pitcairn Islands ," -24° 22 36.28"" S"," -128° 19 27.25"" W"
Poland ," 51° 55 8.06"" N"," 19° 08 3.76"" E"
Portugal ," 39° 33 25.89"" N"," -7° 51 13.18"" W"
Puerto Rico ," 18° 11 55.39"" N"," -66° 21 9.63"" W"
Qatar ," 25° 19 37.58"" N"," 51° 11 47.97"" E"
Reunion ," -21° 07 50.48"" S"," 55° 31 35.33"" E"
Romania ," 45° 56 39.43"" N"," 25° 00 33.95"" E"
Russian Federation ," 55° 00 0.00"" N"," 103° 00 0.00"" E"
Rwanda ," -1° 56 37.34"" S"," 29° 52 50.08"" E"
Saint Barthelemy ," 17° 54 50.12"" N"," -62° 50 1.87"" W"
"Saint Helena, Ascension and Tristan da Cunha "," -15° 57 55.90"" S"," -5° 42 41.34"" W"
Saint Kitts and Nevis ," 17° 15 22.24"" N"," -62° 42 7.07"" W"
Saint Lucia ," 13° 54 34.29"" N"," -60° 58 34.99"" W"
Saint Martin ," 18° 05 9.08"" N"," -63° 03 42.69"" W"
Saint Pierre and Miquelon ," 46° 56 48.08"" N"," -56° 15 44.23"" W"
Saint Vincent and the Grenadines ," 13° 15 10.14"" N"," -61° 11 49.55"" W"
Samoa ," -13° 45 29.92"" S"," -172° 06 17.16"" W"
San Marino ," 43° 56 34.36"" N"," 12° 27 36.34"" E"
Sao Tome and Principe ," 0° 11 58.90"" N"," 6° 36 38.03"" E"
Saudi Arabia ," 24° 16 0.86"" N"," 45° 06 28.26"" E"
Senegal ," 14° 30 0.62"" N"," -14° 26 21.22"" W"
Serbia ," 44° 12 38.76"" N"," 20° 55 20.70"" E"
Seychelles ," -4° 41 1.99"" S"," 55° 26 58.12"" E"
Sierra Leone ," 8° 26 58.20"" N"," -11° 47 12.58"" W"
Singapore ," 1° 18 52.79"" N"," 103° 50 43.47"" E"
Sint Maarten ," 18° 02 4.99"" N"," -63° 04 5.20"" W"
Slovakia ," 48° 40 25.51"" N"," 19° 41 45.81"" E"
Slovenia ," 46° 08 57.00"" N"," 14° 59 9.64"" E"
Solomon Islands ," -9° 13 34.86"" S"," 159° 11 14.61"" E"
Somalia ," 5° 09 47.83"" N"," 46° 12 13.32"" E"
South Africa ," -28° 28 45.35"" S"," 24° 40 21.77"" E"
South Georgia and the South Sandwich Islands ," -54° 25 50.49"" S"," -36° 59 12.88"" W"
"Korea, Republic of "," 35° 51 41.44"" N"," 127° 05 47.06"" E"
South Sudan ," 7° 51 45.66"" N"," 29° 41 41.72"" E"
Spain ," 40° 12 30.60"" N"," -3° 42 46.80"" W"
Sri Lanka ," 7° 52 38.72"" N"," 80° 42 1.23"" E"
Sudan ," 15° 47 9.85"" N"," 30° 11 58.48"" E"
Suriname ," 3° 55 23.86"" N"," -56° 01 28.68"" W"
Swaziland ," -26° 31 4.59"" S"," 31° 27 46.69"" E"
Sweden ," 62° 11 54.01"" N"," 17° 34 1.91"" E"
Switzerland ," 46° 48 47.47"" N"," 8° 13 27.16"" E"
Syrian Arab Republic ," 34° 48 53.69"" N"," 39° 02 47.23"" E"
"Taiwan, Province of China "," 23° 33 11.22"" N"," 121° 01 15.97"" E"
Tajikistan ," 38° 51 29.44"" N"," 71° 14 52.74"" E"
"Tanzania, United Republic of "," -6° 22 22.17"" S"," 34° 53 32.94"" E"
Thailand ," 13° 02 19.93"" N"," 101° 29 24.37"" E"
Timor-Leste ," -8° 47 41.08"" S"," 126° 08 12.90"" E"
Togo ," 8° 37 33.34"" N"," 0° 49 57.01"" E"
Tokelau ," -9° 10 0.60"" S"," -171° 49 5.56"" W"
Tonga ," -21° 14 30.44"" S"," -175° 07 42.76"" W"
Trinidad and Tobago ," 10° 26 37.37"" N"," -61° 25 8.91"" W"
Tunisia ," 33° 47 35.38"" N"," 9° 33 38.76"" E"
Turkey ," 38° 57 26.43"" N"," 35° 14 26.67"" E"
Turkmenistan ," 38° 57 49.69"" N"," 59° 34 39.36"" E"
Turks and Caicos Islands ," 21° 42 29.48"" N"," -71° 58 19.62"" W"
Tuvalu ," -7° 28 42.39"" S"," 178° 40 47.72"" E"
Uganda ," 1° 22 14.63"" N"," 32° 18 11.67"" E"
Ukraine ," 48° 22 58.88"" N"," 31° 10 58.33"" E"
United Arab Emirates ," 24° 21 2.10"" N"," 53° 56 22.71"" E"
United Kingdom ," 55° 21 42.34"" N"," -3° 26 35.97"" W"
United States ," 37° 36 0.00"" N"," -95° 39 54.00"" W"
United States Minor Outlying Islands ," 19° 17 43.35"" N"," 166° 37 40.96"" E"
Uruguay ," -32° 33 29.94"" S"," -55° 48 42.11"" W"
Uzbekistan ," 41° 22 52.20"" N"," 64° 34 24.89"" E"
Vanuatu ," -15° 26 57.41"" S"," 167° 35 43.48"" E"
"Venezuela, Bolivarian Republic of "," 5° 09 47.86"" N"," -69° 24 52.81"" W"
Vietnam ," 15° 54 11.02"" N"," 105° 48 24.09"" E"
"Virgin Islands, British "," 18° 25 5.12"" N"," -64° 35 7.55"" W"
"Virgin Islands, U.S. "," 18° 20 36.39"" N"," -64° 52 1.79"" W"
Wallis and Futuna ," -14° 18 4.78"" S"," -178° 05 27.11"" W"
Western Sahara ," 24° 13 5.92"" N"," -12° 53 8.15"" W"
Yemen ," 15° 33 14.06"" N"," 48° 10 29.45"" E"
Zambia ," -13° 08 25.26"" S"," 27° 50 57.50"" E"
Zimbabwe ," -19° 01 0.92"" S"," 29° 09 10.09"" E"
